001  00001 |Loss: 3.053 | Acc: 10.938% 
001  00002 |Loss: 2.952 | Acc: 15.625% 
001  00003 |Loss: 2.919 | Acc: 16.927% 
001  00004 |Loss: 2.879 | Acc: 16.016% 
001  00005 |Loss: 2.874 | Acc: 15.781% 
001  00006 |Loss: 2.863 | Acc: 16.667% 
001  00007 |Loss: 2.873 | Acc: 16.183% 
001  00008 |Loss: 2.845 | Acc: 16.113% 
001  00009 |Loss: 2.833 | Acc: 16.580% 
001  00010 |Loss: 2.820 | Acc: 16.875% 
001  00011 |Loss: 2.794 | Acc: 17.969% 
001  00012 |Loss: 2.782 | Acc: 18.164% 
001  00013 |Loss: 2.759 | Acc: 18.870% 
001  00014 |Loss: 2.742 | Acc: 19.029% 
001  00015 |Loss: 2.729 | Acc: 19.427% 
001  00016 |Loss: 2.727 | Acc: 19.434% 
001  00017 |Loss: 2.715 | Acc: 19.393% 
001  00018 |Loss: 2.705 | Acc: 19.705% 
001  00019 |Loss: 2.695 | Acc: 20.436% 
001  00020 |Loss: 2.688 | Acc: 20.938% 
001  00021 |Loss: 2.678 | Acc: 21.354% 
001  00022 |Loss: 2.667 | Acc: 21.839% 
001  00023 |Loss: 2.659 | Acc: 21.977% 
001  00024 |Loss: 2.652 | Acc: 22.233% 
001  00025 |Loss: 2.643 | Acc: 22.469% 
001  00026 |Loss: 2.634 | Acc: 22.656% 
001  00027 |Loss: 2.626 | Acc: 22.975% 
001  00028 |Loss: 2.617 | Acc: 23.382% 
001  00029 |Loss: 2.608 | Acc: 23.788% 
001  00030 |Loss: 2.609 | Acc: 23.802% 
001  00031 |Loss: 2.602 | Acc: 24.168% 
001  00032 |Loss: 2.601 | Acc: 24.243% 
001  00033 |Loss: 2.597 | Acc: 24.503% 
001  00034 |Loss: 2.595 | Acc: 24.426% 
001  00035 |Loss: 2.591 | Acc: 24.621% 
001  00036 |Loss: 2.587 | Acc: 24.740% 
001  00037 |Loss: 2.585 | Acc: 24.768% 
001  00038 |Loss: 2.582 | Acc: 24.794% 
001  00039 |Loss: 2.584 | Acc: 24.760% 
001  00040 |Loss: 2.582 | Acc: 24.922% 
001  00041 |Loss: 2.581 | Acc: 24.848% 
001  00042 |Loss: 2.580 | Acc: 24.888% 
001  00043 |Loss: 2.575 | Acc: 25.073% 
001  00044 |Loss: 2.572 | Acc: 25.124% 
001  00045 |Loss: 2.572 | Acc: 25.052% 
001  00046 |Loss: 2.572 | Acc: 25.068% 
001  00047 |Loss: 2.567 | Acc: 25.283% 
001  00048 |Loss: 2.564 | Acc: 25.391% 
001  00049 |Loss: 2.559 | Acc: 25.478% 
001  00050 |Loss: 2.555 | Acc: 25.625% 
001  00051 |Loss: 2.552 | Acc: 25.674% 
001  00052 |Loss: 2.550 | Acc: 25.571% 
001  00053 |Loss: 2.548 | Acc: 25.590% 
001  00054 |Loss: 2.546 | Acc: 25.723% 
001  00055 |Loss: 2.545 | Acc: 25.696% 
001  00056 |Loss: 2.540 | Acc: 25.879% 
001  00057 |Loss: 2.535 | Acc: 25.905% 
001  00058 |Loss: 2.535 | Acc: 25.916% 
001  00059 |Loss: 2.532 | Acc: 26.073% 
001  00060 |Loss: 2.530 | Acc: 26.081% 
001  00061 |Loss: 2.526 | Acc: 26.345% 
001  00062 |Loss: 2.523 | Acc: 26.462% 
001  00063 |Loss: 2.519 | Acc: 26.674% 
001  00064 |Loss: 2.518 | Acc: 26.636% 
001  00065 |Loss: 2.514 | Acc: 26.779% 
001  00066 |Loss: 2.512 | Acc: 26.740% 
001  00067 |Loss: 2.509 | Acc: 26.889% 
