001  00001 |Loss: 2.398 | Acc: 6.250% 
001  00002 |Loss: 2.603 | Acc: 8.203% 
001  00003 |Loss: 3.467 | Acc: 8.594% 
001  00004 |Loss: 4.104 | Acc: 10.547% 
001  00005 |Loss: 4.750 | Acc: 11.719% 
001  00006 |Loss: 5.005 | Acc: 10.547% 
001  00007 |Loss: 5.023 | Acc: 12.165% 
001  00008 |Loss: 5.158 | Acc: 12.012% 
001  00009 |Loss: 5.344 | Acc: 11.458% 
001  00010 |Loss: 5.515 | Acc: 10.547% 
001  00011 |Loss: 5.751 | Acc: 10.724% 
001  00012 |Loss: 5.964 | Acc: 10.612% 
001  00013 |Loss: 5.940 | Acc: 10.337% 
001  00014 |Loss: 6.211 | Acc: 10.212% 
001  00015 |Loss: 6.138 | Acc: 10.208% 
001  00016 |Loss: 5.972 | Acc: 10.107% 
001  00017 |Loss: 5.980 | Acc: 10.524% 
001  00018 |Loss: 5.880 | Acc: 10.460% 
001  00019 |Loss: 5.752 | Acc: 10.321% 
001  00020 |Loss: 5.687 | Acc: 10.352% 
001  00021 |Loss: 5.568 | Acc: 10.417% 
001  00022 |Loss: 5.474 | Acc: 10.227% 
001  00023 |Loss: 5.364 | Acc: 10.122% 
001  00024 |Loss: 5.274 | Acc: 9.993% 
001  00025 |Loss: 5.188 | Acc: 10.250% 
001  00026 |Loss: 5.083 | Acc: 10.457% 
001  00027 |Loss: 4.992 | Acc: 10.475% 
001  00028 |Loss: 4.913 | Acc: 10.519% 
001  00029 |Loss: 4.855 | Acc: 10.399% 
001  00030 |Loss: 4.800 | Acc: 10.521% 
001  00031 |Loss: 4.723 | Acc: 10.358% 
001  00032 |Loss: 4.655 | Acc: 10.327% 
001  00033 |Loss: 4.593 | Acc: 10.393% 
001  00034 |Loss: 4.530 | Acc: 10.386% 
001  00035 |Loss: 4.465 | Acc: 10.469% 
001  00036 |Loss: 4.404 | Acc: 10.569% 
001  00037 |Loss: 4.347 | Acc: 10.642% 
001  00038 |Loss: 4.292 | Acc: 10.794% 
001  00039 |Loss: 4.239 | Acc: 10.817% 
001  00040 |Loss: 4.191 | Acc: 10.957% 
001  00041 |Loss: 4.148 | Acc: 10.957% 
001  00042 |Loss: 4.099 | Acc: 11.031% 
001  00043 |Loss: 4.055 | Acc: 11.156% 
001  00044 |Loss: 4.013 | Acc: 11.168% 
001  00045 |Loss: 3.973 | Acc: 11.372% 
001  00046 |Loss: 3.934 | Acc: 11.498% 
001  00047 |Loss: 3.897 | Acc: 11.553% 
001  00048 |Loss: 3.860 | Acc: 11.719% 
001  00049 |Loss: 3.823 | Acc: 11.751% 
001  00050 |Loss: 3.789 | Acc: 11.828% 
001  00051 |Loss: 3.754 | Acc: 12.025% 
001  00052 |Loss: 3.723 | Acc: 12.139% 
001  00053 |Loss: 3.691 | Acc: 12.338% 
001  00054 |Loss: 3.662 | Acc: 12.413% 
001  00055 |Loss: 3.635 | Acc: 12.514% 
001  00056 |Loss: 3.608 | Acc: 12.653% 
001  00057 |Loss: 3.581 | Acc: 12.760% 
001  00058 |Loss: 3.555 | Acc: 12.837% 
001  00059 |Loss: 3.529 | Acc: 13.003% 
001  00060 |Loss: 3.504 | Acc: 13.060% 
001  00061 |Loss: 3.480 | Acc: 13.166% 
001  00062 |Loss: 3.458 | Acc: 13.269% 
001  00063 |Loss: 3.436 | Acc: 13.368% 
001  00064 |Loss: 3.415 | Acc: 13.428% 
001  00065 |Loss: 3.396 | Acc: 13.462% 
001  00066 |Loss: 3.376 | Acc: 13.636% 
001  00067 |Loss: 3.356 | Acc: 13.783% 
001  00068 |Loss: 3.337 | Acc: 13.936% 
001  00069 |Loss: 3.318 | Acc: 14.017% 
001  00070 |Loss: 3.301 | Acc: 14.018% 
001  00071 |Loss: 3.283 | Acc: 14.118% 
001  00072 |Loss: 3.266 | Acc: 14.128% 
001  00073 |Loss: 3.250 | Acc: 14.266% 
001  00074 |Loss: 3.234 | Acc: 14.295% 
001  00075 |Loss: 3.218 | Acc: 14.354% 
