001  00001 |Loss: 2.378 | Acc: 10.156% 
001  00002 |Loss: 3.001 | Acc: 11.719% 
001  00003 |Loss: 3.065 | Acc: 14.323% 
001  00004 |Loss: 3.351 | Acc: 13.867% 
001  00005 |Loss: 3.552 | Acc: 13.750% 
001  00006 |Loss: 3.880 | Acc: 13.411% 
001  00007 |Loss: 4.034 | Acc: 13.728% 
001  00008 |Loss: 4.175 | Acc: 14.453% 
001  00009 |Loss: 4.409 | Acc: 13.715% 
001  00010 |Loss: 4.426 | Acc: 13.594% 
001  00011 |Loss: 4.361 | Acc: 13.139% 
001  00012 |Loss: 4.320 | Acc: 13.151% 
001  00013 |Loss: 4.304 | Acc: 13.161% 
001  00014 |Loss: 4.297 | Acc: 13.114% 
001  00015 |Loss: 4.267 | Acc: 12.760% 
001  00016 |Loss: 4.190 | Acc: 12.646% 
001  00017 |Loss: 4.100 | Acc: 12.776% 
001  00018 |Loss: 4.027 | Acc: 12.847% 
001  00019 |Loss: 3.957 | Acc: 12.829% 
001  00020 |Loss: 3.878 | Acc: 12.891% 
001  00021 |Loss: 3.807 | Acc: 12.872% 
001  00022 |Loss: 3.741 | Acc: 12.855% 
001  00023 |Loss: 3.679 | Acc: 13.145% 
001  00024 |Loss: 3.635 | Acc: 13.509% 
001  00025 |Loss: 3.580 | Acc: 13.844% 
001  00026 |Loss: 3.534 | Acc: 14.123% 
001  00027 |Loss: 3.503 | Acc: 14.120% 
001  00028 |Loss: 3.459 | Acc: 14.174% 
001  00029 |Loss: 3.428 | Acc: 14.359% 
001  00030 |Loss: 3.389 | Acc: 14.349% 
001  00031 |Loss: 3.358 | Acc: 14.340% 
001  00032 |Loss: 3.340 | Acc: 14.282% 
001  00033 |Loss: 3.306 | Acc: 14.512% 
001  00034 |Loss: 3.277 | Acc: 14.683% 
001  00035 |Loss: 3.249 | Acc: 14.777% 
001  00036 |Loss: 3.220 | Acc: 14.844% 
001  00037 |Loss: 3.194 | Acc: 15.160% 
001  00038 |Loss: 3.164 | Acc: 15.399% 
001  00039 |Loss: 3.139 | Acc: 15.485% 
001  00040 |Loss: 3.117 | Acc: 15.527% 
001  00041 |Loss: 3.093 | Acc: 15.663% 
001  00042 |Loss: 3.069 | Acc: 15.867% 
001  00043 |Loss: 3.051 | Acc: 16.007% 
001  00044 |Loss: 3.032 | Acc: 16.122% 
001  00045 |Loss: 3.011 | Acc: 16.128% 
001  00046 |Loss: 2.992 | Acc: 16.270% 
001  00047 |Loss: 2.978 | Acc: 16.423% 
001  00048 |Loss: 2.969 | Acc: 16.488% 
001  00049 |Loss: 2.952 | Acc: 16.614% 
001  00050 |Loss: 2.939 | Acc: 16.719% 
001  00051 |Loss: 2.922 | Acc: 16.866% 
001  00052 |Loss: 2.906 | Acc: 16.977% 
001  00053 |Loss: 2.890 | Acc: 17.143% 
001  00054 |Loss: 2.874 | Acc: 17.231% 
