001  00001 |Loss: 4.628 | Acc: 0.000% 
001  00002 |Loss: 4.599 | Acc: 0.391% 
001  00003 |Loss: 4.594 | Acc: 0.781% 
001  00004 |Loss: 4.579 | Acc: 1.367% 
001  00005 |Loss: 4.566 | Acc: 1.719% 
001  00006 |Loss: 4.535 | Acc: 1.693% 
001  00007 |Loss: 4.535 | Acc: 1.897% 
001  00008 |Loss: 4.550 | Acc: 1.758% 
001  00009 |Loss: 4.561 | Acc: 1.910% 
001  00010 |Loss: 4.553 | Acc: 2.188% 
001  00011 |Loss: 4.541 | Acc: 2.202% 
001  00012 |Loss: 4.547 | Acc: 2.148% 
001  00013 |Loss: 4.537 | Acc: 2.224% 
001  00014 |Loss: 4.527 | Acc: 2.400% 
001  00015 |Loss: 4.518 | Acc: 2.552% 
001  00016 |Loss: 4.510 | Acc: 2.539% 
001  00017 |Loss: 4.496 | Acc: 2.619% 
001  00018 |Loss: 4.497 | Acc: 2.561% 
001  00019 |Loss: 4.498 | Acc: 2.632% 
001  00020 |Loss: 4.490 | Acc: 2.695% 
001  00021 |Loss: 4.481 | Acc: 2.753% 
001  00022 |Loss: 4.476 | Acc: 2.805% 
001  00023 |Loss: 4.462 | Acc: 2.819% 
001  00024 |Loss: 4.454 | Acc: 2.865% 
001  00025 |Loss: 4.449 | Acc: 2.812% 
001  00026 |Loss: 4.437 | Acc: 2.885% 
001  00027 |Loss: 4.429 | Acc: 2.922% 
001  00028 |Loss: 4.431 | Acc: 3.069% 
001  00029 |Loss: 4.433 | Acc: 3.098% 
001  00030 |Loss: 4.425 | Acc: 3.307% 
001  00031 |Loss: 4.417 | Acc: 3.352% 
001  00032 |Loss: 4.416 | Acc: 3.320% 
001  00033 |Loss: 4.411 | Acc: 3.338% 
001  00034 |Loss: 4.405 | Acc: 3.378% 
001  00035 |Loss: 4.397 | Acc: 3.304% 
001  00036 |Loss: 4.387 | Acc: 3.342% 
001  00037 |Loss: 4.378 | Acc: 3.378% 
001  00038 |Loss: 4.376 | Acc: 3.351% 
001  00039 |Loss: 4.371 | Acc: 3.425% 
001  00040 |Loss: 4.367 | Acc: 3.477% 
001  00041 |Loss: 4.362 | Acc: 3.487% 
001  00042 |Loss: 4.357 | Acc: 3.590% 
001  00043 |Loss: 4.348 | Acc: 3.634% 
001  00044 |Loss: 4.342 | Acc: 3.622% 
001  00045 |Loss: 4.339 | Acc: 3.628% 
001  00046 |Loss: 4.334 | Acc: 3.668% 
001  00047 |Loss: 4.332 | Acc: 3.657% 
001  00048 |Loss: 4.326 | Acc: 3.613% 
001  00049 |Loss: 4.318 | Acc: 3.651% 
001  00050 |Loss: 4.313 | Acc: 3.641% 
001  00051 |Loss: 4.311 | Acc: 3.661% 
001  00052 |Loss: 4.309 | Acc: 3.636% 
001  00053 |Loss: 4.306 | Acc: 3.656% 
001  00054 |Loss: 4.302 | Acc: 3.675% 
001  00055 |Loss: 4.296 | Acc: 3.722% 
001  00056 |Loss: 4.292 | Acc: 3.753% 
001  00057 |Loss: 4.288 | Acc: 3.783% 
001  00058 |Loss: 4.287 | Acc: 3.785% 
001  00059 |Loss: 4.283 | Acc: 3.827% 
001  00060 |Loss: 4.281 | Acc: 3.789% 
001  00061 |Loss: 4.276 | Acc: 3.804% 
001  00062 |Loss: 4.270 | Acc: 3.856% 
001  00063 |Loss: 4.269 | Acc: 3.857% 
001  00064 |Loss: 4.265 | Acc: 3.894% 
001  00065 |Loss: 4.263 | Acc: 3.930% 
001  00066 |Loss: 4.256 | Acc: 3.977% 
001  00067 |Loss: 4.254 | Acc: 3.930% 
001  00068 |Loss: 4.249 | Acc: 4.021% 
001  00069 |Loss: 4.243 | Acc: 4.087% 
001  00070 |Loss: 4.240 | Acc: 4.096% 
001  00071 |Loss: 4.235 | Acc: 4.148% 
001  00072 |Loss: 4.230 | Acc: 4.188% 
001  00073 |Loss: 4.225 | Acc: 4.259% 
001  00074 |Loss: 4.219 | Acc: 4.286% 
001  00075 |Loss: 4.214 | Acc: 4.333% 
001  00076 |Loss: 4.209 | Acc: 4.338% 
001  00077 |Loss: 4.208 | Acc: 4.322% 
001  00078 |Loss: 4.205 | Acc: 4.367% 
001  00079 |Loss: 4.199 | Acc: 4.381% 
001  00080 |Loss: 4.195 | Acc: 4.414% 
001  00081 |Loss: 4.193 | Acc: 4.398% 
001  00082 |Loss: 4.191 | Acc: 4.430% 
001  00083 |Loss: 4.189 | Acc: 4.452% 
001  00084 |Loss: 4.186 | Acc: 4.427% 
001  00085 |Loss: 4.184 | Acc: 4.439% 
001  00086 |Loss: 4.179 | Acc: 4.469% 
001  00087 |Loss: 4.176 | Acc: 4.526% 
001  00088 |Loss: 4.173 | Acc: 4.537% 
001  00089 |Loss: 4.171 | Acc: 4.582% 
001  00090 |Loss: 4.170 | Acc: 4.601% 
001  00091 |Loss: 4.169 | Acc: 4.619% 
001  00092 |Loss: 4.166 | Acc: 4.637% 
001  00093 |Loss: 4.163 | Acc: 4.662% 
001  00094 |Loss: 4.161 | Acc: 4.671% 
001  00095 |Loss: 4.159 | Acc: 4.679% 
001  00096 |Loss: 4.158 | Acc: 4.688% 
001  00097 |Loss: 4.157 | Acc: 4.655% 
001  00098 |Loss: 4.154 | Acc: 4.656% 
001  00099 |Loss: 4.151 | Acc: 4.680% 
001  00100 |Loss: 4.149 | Acc: 4.672% 
001  00101 |Loss: 4.147 | Acc: 4.703% 
001  00102 |Loss: 4.146 | Acc: 4.680% 
001  00103 |Loss: 4.145 | Acc: 4.680% 
001  00104 |Loss: 4.143 | Acc: 4.650% 
001  00105 |Loss: 4.139 | Acc: 4.702% 
001  00106 |Loss: 4.136 | Acc: 4.717% 
001  00107 |Loss: 4.133 | Acc: 4.731% 
001  00108 |Loss: 4.132 | Acc: 4.724% 
001  00109 |Loss: 4.129 | Acc: 4.759% 
001  00110 |Loss: 4.124 | Acc: 4.808% 
001  00111 |Loss: 4.122 | Acc: 4.828% 
001  00112 |Loss: 4.119 | Acc: 4.862% 
001  00113 |Loss: 4.119 | Acc: 4.840% 
001  00114 |Loss: 4.117 | Acc: 4.838% 
001  00115 |Loss: 4.115 | Acc: 4.864% 
001  00116 |Loss: 4.113 | Acc: 4.863% 
001  00117 |Loss: 4.111 | Acc: 4.861% 
001  00118 |Loss: 4.108 | Acc: 4.893% 
001  00119 |Loss: 4.105 | Acc: 4.917% 
001  00120 |Loss: 4.103 | Acc: 4.928% 
001  00121 |Loss: 4.100 | Acc: 4.939% 
001  00122 |Loss: 4.102 | Acc: 4.931% 
001  00123 |Loss: 4.098 | Acc: 4.954% 
001  00124 |Loss: 4.096 | Acc: 4.977% 
001  00125 |Loss: 4.094 | Acc: 5.000% 
001  00126 |Loss: 4.092 | Acc: 5.029% 
001  00127 |Loss: 4.089 | Acc: 5.050% 
001  00128 |Loss: 4.087 | Acc: 5.078% 
001  00129 |Loss: 4.085 | Acc: 5.099% 
001  00130 |Loss: 4.082 | Acc: 5.144% 
001  00131 |Loss: 4.079 | Acc: 5.159% 
001  00132 |Loss: 4.078 | Acc: 5.167% 
001  00133 |Loss: 4.076 | Acc: 5.193% 
001  00134 |Loss: 4.075 | Acc: 5.212% 
001  00135 |Loss: 4.071 | Acc: 5.255% 
001  00136 |Loss: 4.069 | Acc: 5.262% 
001  00137 |Loss: 4.067 | Acc: 5.275% 
001  00138 |Loss: 4.065 | Acc: 5.259% 
001  00139 |Loss: 4.063 | Acc: 5.289% 
001  00140 |Loss: 4.062 | Acc: 5.329% 
001  00141 |Loss: 4.059 | Acc: 5.347% 
001  00142 |Loss: 4.058 | Acc: 5.359% 
001  00143 |Loss: 4.056 | Acc: 5.392% 
001  00144 |Loss: 4.054 | Acc: 5.420% 
001  00145 |Loss: 4.051 | Acc: 5.436% 
001  00146 |Loss: 4.049 | Acc: 5.485% 
001  00147 |Loss: 4.046 | Acc: 5.506% 
001  00148 |Loss: 4.044 | Acc: 5.495% 
001  00149 |Loss: 4.041 | Acc: 5.511% 
001  00150 |Loss: 4.040 | Acc: 5.516% 
001  00151 |Loss: 4.038 | Acc: 5.536% 
001  00152 |Loss: 4.037 | Acc: 5.546% 
001  00153 |Loss: 4.034 | Acc: 5.576% 
001  00154 |Loss: 4.032 | Acc: 5.585% 
001  00155 |Loss: 4.030 | Acc: 5.600% 
001  00156 |Loss: 4.029 | Acc: 5.614% 
001  00157 |Loss: 4.027 | Acc: 5.638% 
