001  00001 |Loss: 4.652 | Acc: 2.344% 
001  00002 |Loss: 4.633 | Acc: 1.953% 
001  00003 |Loss: 4.609 | Acc: 1.302% 
001  00004 |Loss: 4.600 | Acc: 1.172% 
001  00005 |Loss: 4.589 | Acc: 1.406% 
001  00006 |Loss: 4.597 | Acc: 1.432% 
001  00007 |Loss: 4.590 | Acc: 1.451% 
001  00008 |Loss: 4.592 | Acc: 1.465% 
001  00009 |Loss: 4.590 | Acc: 1.389% 
001  00010 |Loss: 4.593 | Acc: 1.406% 
001  00011 |Loss: 4.591 | Acc: 1.420% 
001  00012 |Loss: 4.579 | Acc: 1.367% 
001  00013 |Loss: 4.577 | Acc: 1.442% 
001  00014 |Loss: 4.569 | Acc: 1.618% 
001  00015 |Loss: 4.562 | Acc: 1.771% 
001  00016 |Loss: 4.554 | Acc: 1.855% 
001  00017 |Loss: 4.550 | Acc: 1.838% 
001  00018 |Loss: 4.543 | Acc: 1.780% 
001  00019 |Loss: 4.539 | Acc: 1.850% 
001  00020 |Loss: 4.520 | Acc: 1.875% 
001  00021 |Loss: 4.509 | Acc: 2.121% 
001  00022 |Loss: 4.496 | Acc: 2.202% 
001  00023 |Loss: 4.492 | Acc: 2.276% 
001  00024 |Loss: 4.480 | Acc: 2.507% 
001  00025 |Loss: 4.469 | Acc: 2.562% 
001  00026 |Loss: 4.462 | Acc: 2.554% 
001  00027 |Loss: 4.462 | Acc: 2.575% 
001  00028 |Loss: 4.457 | Acc: 2.706% 
001  00029 |Loss: 4.455 | Acc: 2.694% 
001  00030 |Loss: 4.452 | Acc: 2.630% 
001  00031 |Loss: 4.447 | Acc: 2.621% 
001  00032 |Loss: 4.443 | Acc: 2.661% 
001  00033 |Loss: 4.432 | Acc: 2.652% 
001  00034 |Loss: 4.425 | Acc: 2.642% 
001  00035 |Loss: 4.421 | Acc: 2.634% 
001  00036 |Loss: 4.415 | Acc: 2.626% 
001  00037 |Loss: 4.410 | Acc: 2.682% 
001  00038 |Loss: 4.401 | Acc: 2.714% 
001  00039 |Loss: 4.389 | Acc: 2.764% 
001  00040 |Loss: 4.380 | Acc: 2.852% 
001  00041 |Loss: 4.378 | Acc: 2.839% 
001  00042 |Loss: 4.370 | Acc: 2.865% 
001  00043 |Loss: 4.366 | Acc: 2.889% 
001  00044 |Loss: 4.360 | Acc: 2.983% 
001  00045 |Loss: 4.351 | Acc: 3.056% 
001  00046 |Loss: 4.346 | Acc: 3.040% 
001  00047 |Loss: 4.341 | Acc: 3.158% 
001  00048 |Loss: 4.339 | Acc: 3.158% 
001  00049 |Loss: 4.337 | Acc: 3.173% 
001  00050 |Loss: 4.330 | Acc: 3.219% 
001  00051 |Loss: 4.325 | Acc: 3.263% 
001  00052 |Loss: 4.321 | Acc: 3.305% 
001  00053 |Loss: 4.319 | Acc: 3.331% 
001  00054 |Loss: 4.316 | Acc: 3.342% 
001  00055 |Loss: 4.312 | Acc: 3.381% 
001  00056 |Loss: 4.308 | Acc: 3.432% 
001  00057 |Loss: 4.302 | Acc: 3.509% 
001  00058 |Loss: 4.296 | Acc: 3.529% 
001  00059 |Loss: 4.291 | Acc: 3.575% 
001  00060 |Loss: 4.286 | Acc: 3.620% 
001  00061 |Loss: 4.280 | Acc: 3.663% 
001  00062 |Loss: 4.278 | Acc: 3.667% 
001  00063 |Loss: 4.272 | Acc: 3.683% 
001  00064 |Loss: 4.270 | Acc: 3.711% 
001  00065 |Loss: 4.265 | Acc: 3.774% 
001  00066 |Loss: 4.264 | Acc: 3.752% 
001  00067 |Loss: 4.260 | Acc: 3.778% 
001  00068 |Loss: 4.255 | Acc: 3.837% 
001  00069 |Loss: 4.253 | Acc: 3.816% 
001  00070 |Loss: 4.250 | Acc: 3.817% 
001  00071 |Loss: 4.245 | Acc: 3.840% 
001  00072 |Loss: 4.242 | Acc: 3.885% 
001  00073 |Loss: 4.239 | Acc: 3.906% 
001  00074 |Loss: 4.238 | Acc: 3.896% 
001  00075 |Loss: 4.232 | Acc: 3.948% 
001  00076 |Loss: 4.229 | Acc: 3.999% 
001  00077 |Loss: 4.226 | Acc: 4.008% 
001  00078 |Loss: 4.224 | Acc: 4.046% 
001  00079 |Loss: 4.223 | Acc: 4.045% 
001  00080 |Loss: 4.219 | Acc: 4.062% 
001  00081 |Loss: 4.218 | Acc: 4.061% 
001  00082 |Loss: 4.213 | Acc: 4.106% 
001  00083 |Loss: 4.212 | Acc: 4.142% 
001  00084 |Loss: 4.208 | Acc: 4.167% 
001  00085 |Loss: 4.205 | Acc: 4.191% 
001  00086 |Loss: 4.203 | Acc: 4.206% 
001  00087 |Loss: 4.201 | Acc: 4.239% 
001  00088 |Loss: 4.198 | Acc: 4.252% 
001  00089 |Loss: 4.196 | Acc: 4.266% 
001  00090 |Loss: 4.195 | Acc: 4.253% 
001  00091 |Loss: 4.193 | Acc: 4.267% 
001  00092 |Loss: 4.191 | Acc: 4.305% 
001  00093 |Loss: 4.188 | Acc: 4.335% 
001  00094 |Loss: 4.184 | Acc: 4.388% 
001  00095 |Loss: 4.179 | Acc: 4.424% 
001  00096 |Loss: 4.177 | Acc: 4.435% 
001  00097 |Loss: 4.175 | Acc: 4.430% 
001  00098 |Loss: 4.172 | Acc: 4.464% 
001  00099 |Loss: 4.169 | Acc: 4.506% 
001  00100 |Loss: 4.166 | Acc: 4.547% 
001  00101 |Loss: 4.164 | Acc: 4.571% 
001  00102 |Loss: 4.160 | Acc: 4.596% 
001  00103 |Loss: 4.157 | Acc: 4.596% 
001  00104 |Loss: 4.155 | Acc: 4.620% 
001  00105 |Loss: 4.153 | Acc: 4.650% 
001  00106 |Loss: 4.152 | Acc: 4.643% 
001  00107 |Loss: 4.149 | Acc: 4.680% 
001  00108 |Loss: 4.146 | Acc: 4.688% 
001  00109 |Loss: 4.143 | Acc: 4.716% 
001  00110 |Loss: 4.141 | Acc: 4.787% 
001  00111 |Loss: 4.138 | Acc: 4.821% 
001  00112 |Loss: 4.136 | Acc: 4.848% 
001  00113 |Loss: 4.135 | Acc: 4.853% 
001  00114 |Loss: 4.132 | Acc: 4.893% 
001  00115 |Loss: 4.129 | Acc: 4.966% 
001  00116 |Loss: 4.126 | Acc: 4.984% 
001  00117 |Loss: 4.124 | Acc: 4.988% 
001  00118 |Loss: 4.121 | Acc: 5.019% 
001  00119 |Loss: 4.118 | Acc: 5.049% 
001  00120 |Loss: 4.116 | Acc: 5.065% 
001  00121 |Loss: 4.113 | Acc: 5.075% 
001  00122 |Loss: 4.113 | Acc: 5.078% 
001  00123 |Loss: 4.109 | Acc: 5.132% 
001  00124 |Loss: 4.106 | Acc: 5.192% 
001  00125 |Loss: 4.105 | Acc: 5.250% 
001  00126 |Loss: 4.103 | Acc: 5.258% 
001  00127 |Loss: 4.101 | Acc: 5.315% 
001  00128 |Loss: 4.099 | Acc: 5.328% 
001  00129 |Loss: 4.096 | Acc: 5.329% 
001  00130 |Loss: 4.095 | Acc: 5.337% 
001  00131 |Loss: 4.094 | Acc: 5.349% 
001  00132 |Loss: 4.091 | Acc: 5.350% 
001  00133 |Loss: 4.091 | Acc: 5.369% 
001  00134 |Loss: 4.090 | Acc: 5.370% 
001  00135 |Loss: 4.087 | Acc: 5.382% 
001  00136 |Loss: 4.086 | Acc: 5.400% 
001  00137 |Loss: 4.084 | Acc: 5.417% 
001  00138 |Loss: 4.081 | Acc: 5.474% 
001  00139 |Loss: 4.079 | Acc: 5.491% 
001  00140 |Loss: 4.076 | Acc: 5.513% 
001  00141 |Loss: 4.075 | Acc: 5.502% 
001  00142 |Loss: 4.072 | Acc: 5.535% 
001  00143 |Loss: 4.071 | Acc: 5.540% 
001  00144 |Loss: 4.069 | Acc: 5.561% 
001  00145 |Loss: 4.069 | Acc: 5.550% 
001  00146 |Loss: 4.067 | Acc: 5.576% 
001  00147 |Loss: 4.065 | Acc: 5.596% 
001  00148 |Loss: 4.063 | Acc: 5.606% 
001  00149 |Loss: 4.061 | Acc: 5.610% 
001  00150 |Loss: 4.059 | Acc: 5.625% 
001  00151 |Loss: 4.058 | Acc: 5.634% 
001  00152 |Loss: 4.058 | Acc: 5.649% 
001  00153 |Loss: 4.055 | Acc: 5.688% 
001  00154 |Loss: 4.054 | Acc: 5.692% 
001  00155 |Loss: 4.053 | Acc: 5.680% 
001  00156 |Loss: 4.051 | Acc: 5.699% 
001  00157 |Loss: 4.049 | Acc: 5.698% 
001  00158 |Loss: 4.047 | Acc: 5.721% 
001  00159 |Loss: 4.046 | Acc: 5.729% 
001  00160 |Loss: 4.044 | Acc: 5.747% 
001  00161 |Loss: 4.042 | Acc: 5.784% 
001  00162 |Loss: 4.039 | Acc: 5.816% 
001  00163 |Loss: 4.037 | Acc: 5.857% 
001  00164 |Loss: 4.036 | Acc: 5.878% 
001  00165 |Loss: 4.034 | Acc: 5.909% 
001  00166 |Loss: 4.032 | Acc: 5.921% 
001  00167 |Loss: 4.030 | Acc: 5.941% 
001  00168 |Loss: 4.028 | Acc: 5.971% 
001  00169 |Loss: 4.027 | Acc: 5.968% 
001  00170 |Loss: 4.025 | Acc: 5.974% 
001  00171 |Loss: 4.023 | Acc: 6.003% 
001  00172 |Loss: 4.022 | Acc: 6.023% 
001  00173 |Loss: 4.020 | Acc: 6.051% 
001  00174 |Loss: 4.020 | Acc: 6.048% 
001  00175 |Loss: 4.018 | Acc: 6.049% 
001  00176 |Loss: 4.016 | Acc: 6.059% 
001  00177 |Loss: 4.014 | Acc: 6.073% 
001  00178 |Loss: 4.014 | Acc: 6.092% 
001  00179 |Loss: 4.012 | Acc: 6.093% 
001  00180 |Loss: 4.009 | Acc: 6.120% 
001  00181 |Loss: 4.007 | Acc: 6.146% 
001  00182 |Loss: 4.005 | Acc: 6.168% 
001  00183 |Loss: 4.003 | Acc: 6.182% 
001  00184 |Loss: 4.002 | Acc: 6.203% 
001  00185 |Loss: 4.000 | Acc: 6.233% 
001  00186 |Loss: 3.999 | Acc: 6.258% 
001  00187 |Loss: 3.997 | Acc: 6.279% 
001  00188 |Loss: 3.997 | Acc: 6.304% 
001  00189 |Loss: 3.995 | Acc: 6.324% 
001  00190 |Loss: 3.993 | Acc: 6.324% 
001  00191 |Loss: 3.991 | Acc: 6.332% 
001  00192 |Loss: 3.990 | Acc: 6.340% 
001  00193 |Loss: 3.988 | Acc: 6.335% 
001  00194 |Loss: 3.986 | Acc: 6.343% 
001  00195 |Loss: 3.985 | Acc: 6.346% 
001  00196 |Loss: 3.984 | Acc: 6.362% 
