001  00001 |Loss: 4.704 | Acc: 0.781% 
001  00002 |Loss: 4.650 | Acc: 0.391% 
001  00003 |Loss: 4.638 | Acc: 0.781% 
001  00004 |Loss: 4.611 | Acc: 1.172% 
001  00005 |Loss: 4.615 | Acc: 1.875% 
001  00006 |Loss: 4.628 | Acc: 1.562% 
001  00007 |Loss: 4.629 | Acc: 1.562% 
001  00008 |Loss: 4.620 | Acc: 1.660% 
001  00009 |Loss: 4.618 | Acc: 1.476% 
001  00010 |Loss: 4.617 | Acc: 1.875% 
001  00011 |Loss: 4.619 | Acc: 1.989% 
001  00012 |Loss: 4.619 | Acc: 1.953% 
001  00013 |Loss: 4.620 | Acc: 1.923% 
001  00014 |Loss: 4.613 | Acc: 2.009% 
001  00015 |Loss: 4.618 | Acc: 2.188% 
001  00016 |Loss: 4.613 | Acc: 2.051% 
001  00017 |Loss: 4.615 | Acc: 1.930% 
001  00018 |Loss: 4.613 | Acc: 1.997% 
001  00019 |Loss: 4.612 | Acc: 2.097% 
001  00020 |Loss: 4.611 | Acc: 2.031% 
001  00021 |Loss: 4.601 | Acc: 2.121% 
001  00022 |Loss: 4.593 | Acc: 2.273% 
001  00023 |Loss: 4.586 | Acc: 2.378% 
001  00024 |Loss: 4.588 | Acc: 2.376% 
001  00025 |Loss: 4.584 | Acc: 2.406% 
001  00026 |Loss: 4.580 | Acc: 2.374% 
001  00027 |Loss: 4.568 | Acc: 2.459% 
001  00028 |Loss: 4.561 | Acc: 2.539% 
001  00029 |Loss: 4.553 | Acc: 2.775% 
001  00030 |Loss: 4.548 | Acc: 2.812% 
001  00031 |Loss: 4.544 | Acc: 2.848% 
001  00032 |Loss: 4.540 | Acc: 2.856% 
001  00033 |Loss: 4.535 | Acc: 2.888% 
001  00034 |Loss: 4.530 | Acc: 2.872% 
001  00035 |Loss: 4.527 | Acc: 2.879% 
001  00036 |Loss: 4.523 | Acc: 2.843% 
001  00037 |Loss: 4.515 | Acc: 2.935% 
001  00038 |Loss: 4.512 | Acc: 2.919% 
001  00039 |Loss: 4.511 | Acc: 2.865% 
001  00040 |Loss: 4.507 | Acc: 2.910% 
001  00041 |Loss: 4.504 | Acc: 2.877% 
001  00042 |Loss: 4.497 | Acc: 2.976% 
001  00043 |Loss: 4.492 | Acc: 2.961% 
001  00044 |Loss: 4.484 | Acc: 3.054% 
001  00045 |Loss: 4.477 | Acc: 3.090% 
001  00046 |Loss: 4.471 | Acc: 3.057% 
001  00047 |Loss: 4.468 | Acc: 3.108% 
001  00048 |Loss: 4.464 | Acc: 3.092% 
001  00049 |Loss: 4.458 | Acc: 3.093% 
001  00050 |Loss: 4.454 | Acc: 3.094% 
001  00051 |Loss: 4.448 | Acc: 3.140% 
001  00052 |Loss: 4.444 | Acc: 3.125% 
001  00053 |Loss: 4.437 | Acc: 3.184% 
001  00054 |Loss: 4.434 | Acc: 3.226% 
001  00055 |Loss: 4.429 | Acc: 3.239% 
001  00056 |Loss: 4.425 | Acc: 3.306% 
001  00057 |Loss: 4.421 | Acc: 3.344% 
001  00058 |Loss: 4.414 | Acc: 3.381% 
001  00059 |Loss: 4.407 | Acc: 3.469% 
001  00060 |Loss: 4.406 | Acc: 3.477% 
001  00061 |Loss: 4.402 | Acc: 3.535% 
001  00062 |Loss: 4.399 | Acc: 3.541% 
001  00063 |Loss: 4.394 | Acc: 3.522% 
001  00064 |Loss: 4.392 | Acc: 3.564% 
001  00065 |Loss: 4.386 | Acc: 3.630% 
001  00066 |Loss: 4.381 | Acc: 3.741% 
001  00067 |Loss: 4.379 | Acc: 3.720% 
001  00068 |Loss: 4.374 | Acc: 3.734% 
001  00069 |Loss: 4.370 | Acc: 3.748% 
001  00070 |Loss: 4.368 | Acc: 3.772% 
001  00071 |Loss: 4.363 | Acc: 3.763% 
001  00072 |Loss: 4.361 | Acc: 3.787% 
001  00073 |Loss: 4.359 | Acc: 3.789% 
001  00074 |Loss: 4.355 | Acc: 3.832% 
001  00075 |Loss: 4.351 | Acc: 3.865% 
001  00076 |Loss: 4.346 | Acc: 3.865% 
001  00077 |Loss: 4.342 | Acc: 3.937% 
001  00078 |Loss: 4.340 | Acc: 3.946% 
001  00079 |Loss: 4.336 | Acc: 3.995% 
001  00080 |Loss: 4.333 | Acc: 4.023% 
001  00081 |Loss: 4.329 | Acc: 4.041% 
001  00082 |Loss: 4.324 | Acc: 4.116% 
001  00083 |Loss: 4.319 | Acc: 4.151% 
001  00084 |Loss: 4.316 | Acc: 4.222% 
001  00085 |Loss: 4.314 | Acc: 4.228% 
001  00086 |Loss: 4.311 | Acc: 4.279% 
001  00087 |Loss: 4.310 | Acc: 4.292% 
001  00088 |Loss: 4.305 | Acc: 4.324% 
001  00089 |Loss: 4.301 | Acc: 4.371% 
001  00090 |Loss: 4.299 | Acc: 4.375% 
001  00091 |Loss: 4.296 | Acc: 4.421% 
001  00092 |Loss: 4.293 | Acc: 4.458% 
001  00093 |Loss: 4.291 | Acc: 4.461% 
001  00094 |Loss: 4.288 | Acc: 4.505% 
001  00095 |Loss: 4.284 | Acc: 4.581% 
001  00096 |Loss: 4.280 | Acc: 4.655% 
001  00097 |Loss: 4.276 | Acc: 4.704% 
001  00098 |Loss: 4.274 | Acc: 4.735% 
001  00099 |Loss: 4.271 | Acc: 4.719% 
001  00100 |Loss: 4.268 | Acc: 4.742% 
001  00101 |Loss: 4.265 | Acc: 4.788% 
001  00102 |Loss: 4.262 | Acc: 4.818% 
001  00103 |Loss: 4.259 | Acc: 4.839% 
001  00104 |Loss: 4.257 | Acc: 4.920% 
001  00105 |Loss: 4.255 | Acc: 4.926% 
001  00106 |Loss: 4.253 | Acc: 4.968% 
001  00107 |Loss: 4.251 | Acc: 4.958% 
001  00108 |Loss: 4.249 | Acc: 5.013% 
001  00109 |Loss: 4.246 | Acc: 5.067% 
001  00110 |Loss: 4.243 | Acc: 5.114% 
001  00111 |Loss: 4.239 | Acc: 5.145% 
001  00112 |Loss: 4.236 | Acc: 5.176% 
001  00113 |Loss: 4.233 | Acc: 5.206% 
001  00114 |Loss: 4.229 | Acc: 5.256% 
001  00115 |Loss: 4.227 | Acc: 5.285% 
001  00116 |Loss: 4.223 | Acc: 5.314% 
001  00117 |Loss: 4.220 | Acc: 5.375% 
001  00118 |Loss: 4.218 | Acc: 5.389% 
001  00119 |Loss: 4.217 | Acc: 5.370% 
001  00120 |Loss: 4.215 | Acc: 5.358% 
001  00121 |Loss: 4.212 | Acc: 5.385% 
001  00122 |Loss: 4.209 | Acc: 5.398% 
001  00123 |Loss: 4.207 | Acc: 5.431% 
001  00124 |Loss: 4.204 | Acc: 5.475% 
001  00125 |Loss: 4.203 | Acc: 5.469% 
001  00126 |Loss: 4.200 | Acc: 5.494% 
001  00127 |Loss: 4.198 | Acc: 5.493% 
001  00128 |Loss: 4.196 | Acc: 5.499% 
001  00129 |Loss: 4.195 | Acc: 5.517% 
001  00130 |Loss: 4.194 | Acc: 5.541% 
001  00131 |Loss: 4.193 | Acc: 5.540% 
001  00132 |Loss: 4.190 | Acc: 5.569% 
001  00133 |Loss: 4.189 | Acc: 5.621% 
001  00134 |Loss: 4.187 | Acc: 5.638% 
001  00135 |Loss: 4.188 | Acc: 5.631% 
001  00136 |Loss: 4.187 | Acc: 5.635% 
001  00137 |Loss: 4.186 | Acc: 5.634% 
001  00138 |Loss: 4.184 | Acc: 5.667% 
001  00139 |Loss: 4.182 | Acc: 5.671% 
001  00140 |Loss: 4.180 | Acc: 5.692% 
001  00141 |Loss: 4.178 | Acc: 5.679% 
001  00142 |Loss: 4.176 | Acc: 5.700% 
001  00143 |Loss: 4.175 | Acc: 5.709% 
001  00144 |Loss: 4.173 | Acc: 5.707% 
001  00145 |Loss: 4.171 | Acc: 5.727% 
001  00146 |Loss: 4.170 | Acc: 5.736% 
001  00147 |Loss: 4.168 | Acc: 5.761% 
001  00148 |Loss: 4.166 | Acc: 5.801% 
001  00149 |Loss: 4.164 | Acc: 5.825% 
001  00150 |Loss: 4.164 | Acc: 5.849% 
001  00151 |Loss: 4.162 | Acc: 5.883% 
001  00152 |Loss: 4.161 | Acc: 5.870% 
001  00153 |Loss: 4.159 | Acc: 5.918% 
001  00154 |Loss: 4.158 | Acc: 5.920% 
001  00155 |Loss: 4.158 | Acc: 5.932% 
001  00156 |Loss: 4.157 | Acc: 5.970% 
001  00157 |Loss: 4.155 | Acc: 5.996% 
001  00158 |Loss: 4.154 | Acc: 5.998% 
