001  00001 |Loss: 5.470 | Acc: 0.000% 
001  00002 |Loss: 5.370 | Acc: 1.953% 
001  00003 |Loss: 5.307 | Acc: 1.302% 
001  00004 |Loss: 5.247 | Acc: 1.953% 
001  00005 |Loss: 5.203 | Acc: 2.031% 
001  00006 |Loss: 5.163 | Acc: 1.823% 
001  00007 |Loss: 5.123 | Acc: 1.897% 
001  00008 |Loss: 5.125 | Acc: 1.758% 
001  00009 |Loss: 5.113 | Acc: 1.910% 
001  00010 |Loss: 5.112 | Acc: 2.031% 
001  00011 |Loss: 5.114 | Acc: 2.202% 
001  00012 |Loss: 5.127 | Acc: 2.148% 
001  00013 |Loss: 5.133 | Acc: 2.163% 
001  00014 |Loss: 5.148 | Acc: 2.065% 
001  00015 |Loss: 5.154 | Acc: 2.083% 
001  00016 |Loss: 5.141 | Acc: 2.051% 
001  00017 |Loss: 5.140 | Acc: 2.022% 
001  00018 |Loss: 5.131 | Acc: 2.083% 
001  00019 |Loss: 5.137 | Acc: 2.056% 
001  00020 |Loss: 5.134 | Acc: 2.070% 
001  00021 |Loss: 5.121 | Acc: 2.121% 
001  00022 |Loss: 5.113 | Acc: 2.131% 
001  00023 |Loss: 5.104 | Acc: 2.106% 
001  00024 |Loss: 5.092 | Acc: 2.181% 
001  00025 |Loss: 5.088 | Acc: 2.219% 
001  00026 |Loss: 5.080 | Acc: 2.254% 
001  00027 |Loss: 5.070 | Acc: 2.488% 
001  00028 |Loss: 5.060 | Acc: 2.567% 
001  00029 |Loss: 5.047 | Acc: 2.613% 
001  00030 |Loss: 5.035 | Acc: 2.578% 
001  00031 |Loss: 5.024 | Acc: 2.772% 
001  00032 |Loss: 5.015 | Acc: 2.759% 
001  00033 |Loss: 5.008 | Acc: 2.817% 
001  00034 |Loss: 5.003 | Acc: 2.780% 
001  00035 |Loss: 4.989 | Acc: 2.835% 
001  00036 |Loss: 4.979 | Acc: 2.843% 
001  00037 |Loss: 4.969 | Acc: 2.935% 
001  00038 |Loss: 4.961 | Acc: 2.940% 
001  00039 |Loss: 4.953 | Acc: 3.045% 
001  00040 |Loss: 4.947 | Acc: 3.066% 
001  00041 |Loss: 4.941 | Acc: 3.068% 
001  00042 |Loss: 4.935 | Acc: 3.069% 
001  00043 |Loss: 4.927 | Acc: 3.107% 
001  00044 |Loss: 4.918 | Acc: 3.161% 
001  00045 |Loss: 4.912 | Acc: 3.160% 
001  00046 |Loss: 4.903 | Acc: 3.329% 
001  00047 |Loss: 4.895 | Acc: 3.391% 
001  00048 |Loss: 4.889 | Acc: 3.451% 
001  00049 |Loss: 4.881 | Acc: 3.492% 
001  00050 |Loss: 4.876 | Acc: 3.547% 
001  00051 |Loss: 4.870 | Acc: 3.585% 
001  00052 |Loss: 4.862 | Acc: 3.606% 
001  00053 |Loss: 4.856 | Acc: 3.626% 
001  00054 |Loss: 4.847 | Acc: 3.733% 
001  00055 |Loss: 4.842 | Acc: 3.778% 
001  00056 |Loss: 4.837 | Acc: 3.795% 
001  00057 |Loss: 4.828 | Acc: 3.920% 
001  00058 |Loss: 4.821 | Acc: 3.933% 
001  00059 |Loss: 4.813 | Acc: 3.986% 
001  00060 |Loss: 4.810 | Acc: 3.971% 
001  00061 |Loss: 4.806 | Acc: 3.957% 
001  00062 |Loss: 4.802 | Acc: 4.007% 
001  00063 |Loss: 4.797 | Acc: 4.005% 
001  00064 |Loss: 4.792 | Acc: 4.004% 
001  00065 |Loss: 4.787 | Acc: 4.014% 
001  00066 |Loss: 4.781 | Acc: 4.084% 
