001  00001 |Loss: 4.641 | Acc: 3.125% 
001  00002 |Loss: 4.685 | Acc: 2.344% 
001  00003 |Loss: 4.667 | Acc: 2.083% 
001  00004 |Loss: 4.662 | Acc: 2.734% 
001  00005 |Loss: 4.769 | Acc: 2.500% 
001  00006 |Loss: 4.808 | Acc: 2.604% 
001  00007 |Loss: 4.852 | Acc: 2.679% 
001  00008 |Loss: 4.839 | Acc: 2.930% 
001  00009 |Loss: 4.836 | Acc: 2.951% 
001  00010 |Loss: 4.899 | Acc: 2.812% 
001  00011 |Loss: 4.920 | Acc: 2.841% 
001  00012 |Loss: 4.902 | Acc: 2.734% 
001  00013 |Loss: 4.911 | Acc: 2.704% 
001  00014 |Loss: 4.904 | Acc: 2.623% 
001  00015 |Loss: 4.879 | Acc: 2.969% 
001  00016 |Loss: 4.908 | Acc: 2.881% 
001  00017 |Loss: 4.915 | Acc: 2.803% 
001  00018 |Loss: 4.901 | Acc: 2.908% 
001  00019 |Loss: 4.909 | Acc: 2.796% 
001  00020 |Loss: 4.916 | Acc: 2.734% 
001  00021 |Loss: 4.909 | Acc: 2.753% 
001  00022 |Loss: 4.899 | Acc: 2.770% 
001  00023 |Loss: 4.886 | Acc: 2.819% 
001  00024 |Loss: 4.865 | Acc: 2.897% 
001  00025 |Loss: 4.846 | Acc: 2.812% 
001  00026 |Loss: 4.842 | Acc: 2.794% 
001  00027 |Loss: 4.824 | Acc: 2.922% 
001  00028 |Loss: 4.802 | Acc: 2.958% 
001  00029 |Loss: 4.792 | Acc: 2.909% 
001  00030 |Loss: 4.780 | Acc: 2.995% 
001  00031 |Loss: 4.765 | Acc: 3.075% 
001  00032 |Loss: 4.761 | Acc: 3.125% 
001  00033 |Loss: 4.748 | Acc: 3.149% 
001  00034 |Loss: 4.734 | Acc: 3.240% 
001  00035 |Loss: 4.722 | Acc: 3.192% 
001  00036 |Loss: 4.712 | Acc: 3.190% 
001  00037 |Loss: 4.699 | Acc: 3.315% 
001  00038 |Loss: 4.682 | Acc: 3.413% 
001  00039 |Loss: 4.667 | Acc: 3.466% 
001  00040 |Loss: 4.654 | Acc: 3.457% 
001  00041 |Loss: 4.644 | Acc: 3.449% 
001  00042 |Loss: 4.636 | Acc: 3.478% 
001  00043 |Loss: 4.630 | Acc: 3.488% 
001  00044 |Loss: 4.619 | Acc: 3.480% 
001  00045 |Loss: 4.612 | Acc: 3.507% 
001  00046 |Loss: 4.600 | Acc: 3.516% 
001  00047 |Loss: 4.591 | Acc: 3.507% 
001  00048 |Loss: 4.583 | Acc: 3.499% 
001  00049 |Loss: 4.574 | Acc: 3.540% 
001  00050 |Loss: 4.558 | Acc: 3.656% 
