001  00001 |Loss: 4.657 | Acc: 0.781% 
001  00002 |Loss: 4.703 | Acc: 1.172% 
001  00003 |Loss: 4.665 | Acc: 1.562% 
001  00004 |Loss: 4.686 | Acc: 1.172% 
001  00005 |Loss: 4.691 | Acc: 1.406% 
001  00006 |Loss: 4.755 | Acc: 1.432% 
001  00007 |Loss: 4.860 | Acc: 1.451% 
001  00008 |Loss: 4.905 | Acc: 1.660% 
001  00009 |Loss: 4.933 | Acc: 1.562% 
001  00010 |Loss: 4.944 | Acc: 1.641% 
001  00011 |Loss: 4.920 | Acc: 1.776% 
001  00012 |Loss: 4.920 | Acc: 1.888% 
001  00013 |Loss: 4.924 | Acc: 1.863% 
001  00014 |Loss: 4.916 | Acc: 1.842% 
001  00015 |Loss: 4.937 | Acc: 1.927% 
001  00016 |Loss: 4.953 | Acc: 2.002% 
001  00017 |Loss: 4.944 | Acc: 2.022% 
001  00018 |Loss: 4.933 | Acc: 2.040% 
001  00019 |Loss: 4.922 | Acc: 2.097% 
001  00020 |Loss: 4.909 | Acc: 2.070% 
001  00021 |Loss: 4.905 | Acc: 2.158% 
001  00022 |Loss: 4.890 | Acc: 2.095% 
001  00023 |Loss: 4.878 | Acc: 2.140% 
001  00024 |Loss: 4.871 | Acc: 2.148% 
001  00025 |Loss: 4.860 | Acc: 2.156% 
001  00026 |Loss: 4.849 | Acc: 2.163% 
001  00027 |Loss: 4.837 | Acc: 2.286% 
001  00028 |Loss: 4.827 | Acc: 2.316% 
001  00029 |Loss: 4.814 | Acc: 2.478% 
001  00030 |Loss: 4.805 | Acc: 2.552% 
001  00031 |Loss: 4.797 | Acc: 2.571% 
001  00032 |Loss: 4.785 | Acc: 2.612% 
001  00033 |Loss: 4.779 | Acc: 2.770% 
001  00034 |Loss: 4.775 | Acc: 2.872% 
001  00035 |Loss: 4.761 | Acc: 2.969% 
001  00036 |Loss: 4.755 | Acc: 2.951% 
001  00037 |Loss: 4.745 | Acc: 3.083% 
001  00038 |Loss: 4.736 | Acc: 3.125% 
001  00039 |Loss: 4.732 | Acc: 3.145% 
001  00040 |Loss: 4.724 | Acc: 3.145% 
001  00041 |Loss: 4.713 | Acc: 3.201% 
001  00042 |Loss: 4.704 | Acc: 3.218% 
001  00043 |Loss: 4.694 | Acc: 3.198% 
001  00044 |Loss: 4.681 | Acc: 3.214% 
001  00045 |Loss: 4.672 | Acc: 3.281% 
001  00046 |Loss: 4.665 | Acc: 3.278% 
001  00047 |Loss: 4.658 | Acc: 3.341% 
001  00048 |Loss: 4.651 | Acc: 3.467% 
001  00049 |Loss: 4.641 | Acc: 3.540% 
001  00050 |Loss: 4.631 | Acc: 3.578% 
001  00051 |Loss: 4.624 | Acc: 3.600% 
001  00052 |Loss: 4.618 | Acc: 3.636% 
001  00053 |Loss: 4.611 | Acc: 3.759% 
001  00054 |Loss: 4.604 | Acc: 3.805% 
001  00055 |Loss: 4.599 | Acc: 3.835% 
001  00056 |Loss: 4.591 | Acc: 3.864% 
001  00057 |Loss: 4.587 | Acc: 3.838% 
001  00058 |Loss: 4.581 | Acc: 3.825% 
001  00059 |Loss: 4.575 | Acc: 3.800% 
001  00060 |Loss: 4.568 | Acc: 3.828% 
001  00061 |Loss: 4.562 | Acc: 3.855% 
001  00062 |Loss: 4.560 | Acc: 3.856% 
001  00063 |Loss: 4.555 | Acc: 3.869% 
001  00064 |Loss: 4.550 | Acc: 3.857% 
001  00065 |Loss: 4.545 | Acc: 3.882% 
001  00066 |Loss: 4.539 | Acc: 3.930% 
001  00067 |Loss: 4.538 | Acc: 3.895% 
001  00068 |Loss: 4.533 | Acc: 3.918% 
001  00069 |Loss: 4.526 | Acc: 3.974% 
001  00070 |Loss: 4.519 | Acc: 4.018% 
001  00071 |Loss: 4.516 | Acc: 4.071% 
001  00072 |Loss: 4.512 | Acc: 4.058% 
001  00073 |Loss: 4.507 | Acc: 4.120% 
001  00074 |Loss: 4.503 | Acc: 4.170% 
001  00075 |Loss: 4.498 | Acc: 4.198% 
001  00076 |Loss: 4.493 | Acc: 4.235% 
001  00077 |Loss: 4.489 | Acc: 4.292% 
001  00078 |Loss: 4.485 | Acc: 4.307% 
001  00079 |Loss: 4.480 | Acc: 4.331% 
001  00080 |Loss: 4.475 | Acc: 4.365% 
001  00081 |Loss: 4.469 | Acc: 4.437% 
001  00082 |Loss: 4.464 | Acc: 4.440% 
001  00083 |Loss: 4.459 | Acc: 4.490% 
001  00084 |Loss: 4.456 | Acc: 4.520% 
001  00085 |Loss: 4.453 | Acc: 4.504% 
001  00086 |Loss: 4.449 | Acc: 4.515% 
001  00087 |Loss: 4.445 | Acc: 4.517% 
001  00088 |Loss: 4.441 | Acc: 4.545% 
001  00089 |Loss: 4.438 | Acc: 4.565% 
001  00090 |Loss: 4.436 | Acc: 4.583% 
001  00091 |Loss: 4.431 | Acc: 4.653% 
001  00092 |Loss: 4.429 | Acc: 4.662% 
001  00093 |Loss: 4.424 | Acc: 4.704% 
001  00094 |Loss: 4.422 | Acc: 4.679% 
001  00095 |Loss: 4.418 | Acc: 4.679% 
001  00096 |Loss: 4.416 | Acc: 4.704% 
001  00097 |Loss: 4.411 | Acc: 4.744% 
001  00098 |Loss: 4.409 | Acc: 4.751% 
001  00099 |Loss: 4.405 | Acc: 4.774% 
001  00100 |Loss: 4.402 | Acc: 4.805% 
001  00101 |Loss: 4.398 | Acc: 4.788% 
001  00102 |Loss: 4.395 | Acc: 4.833% 
001  00103 |Loss: 4.392 | Acc: 4.839% 
